Aggregate with Dmax= 1026.64 and aeff= 211.234
4935  = NAT
1.000	0.000	0.000	= target vector a1 (in TF)
0.000	1.000	0.000	= target vector a1 (in TF)
1.	1.	1.	= d_x/d d_y/d d_z/d (normally 1 1 1)
J	JX	JY	JZ	ICMPX	ICMPY	ICMPZ
268  -4  -3   0   1   1   1
269  -4  -3   1   1   1   1
270  -5  -3   2   1   1   1
271  -3  -3   1   1   1   1
272  -4   4  -1   1   1   1
273  -3  -3   3   1   1   1
274  -5  -5  -1   1   1   1
275  -5  -6  -2   1   1   1
276  -6  -0   2   1   1   1
277  -6  -2  -1   1   1   1
278   1  -2  -3   1   1   1
279   1  -3  -3   1   1   1
280   1  -4  -3   1   1   1
281   1  -3  -4   1   1   1
282   0  -4  -3   1   1   1
283  -3   6  -2   1   1   1
284  -3   5  -1   1   1   1
285  -3   5   0   1   1   1
286  -2   5  -2   1   1   1
287  -2   5  -1   1   1   1
288  -2   4   0   1   1   1
289  -1   4  -2   1   1   1
290  -2   4  -1   1   1   1
291   0  -1  -1   1   1   1
292  -3  -3   4   1   1   1
293  -5   1  -0   1   1   1
294  -0   2  -5   1   1   1
295  -6  -2   3   1   1   1
296  -3  -4  -4   1   1   1
297  -0  -1  -2   1   1   1
298  -5  -4  -0   1   1   1
299  -4  -0   1   1   1   1
300  -5  -4   1   1   1   1
301   1  -4   0   1   1   1
302  -7  -0  -3   1   1   1
303  -3  -5  -4   1   1   1
304  -2  -3  -5   1   1   1
305  -2  -1  -6   1   1   1
306  -1  -2  -7   1   1   1
307   2   1   3   1   1   1
308  -3  -2  -0   1   1   1
309   1  -2  -6   1   1   1
310   0  -3  -7   1   1   1
311   1  -4  -7   1   1   1
312   2  -4  -7   1   1   1
313   1   3  -1   1   1   1
314   5  -2   0   1   1   1
315   5  -2  -1   1   1   1
316   6  -2  -2   1   1   1
317   6  -3   0   1   1   1
318   6  -3  -1   1   1   1
319   6  -3  -2   1   1   1
320   5  -3  -0   1   1   1
321   5  -3  -1   1   1   1
322   5  -3  -2   1   1   1
323   4  -3  -0   1   1   1
324   4  -3  -1   1   1   1
325   5  -2  -2   1   1   1
326   5  -4  -0   1   1   1
327   5  -4  -1   1   1   1
328   5  -4  -2   1   1   1
329  -0   4   2   1   1   1
330  -4   3   0   1   1   1
331  -6  -1  -3   1   1   1
332   2   1  -6   1   1   1
333   2   1   4   1   1   1
334   1   2   4   1   1   1
335   1   2   5   1   1   1
336   2  -2  -5   1   1   1
337   6   2   1   1   1   1
338   3   1  -6   1   1   1
339   5  -5   0   1   1   1
340   1   4  -6   1   1   1
341   1   1  -6   1   1   1
342   5  -1   0   1   1   1
343   1   3  -3   1   1   1
344  -4   5   1   1   1   1
345  -4   5   0   1   1   1
346  -4   5  -1   1   1   1
347  -5   4   1   1   1   1
348  -5   4   0   1   1   1
349  -5   4  -1   1   1   1
350  -5   5   1   1   1   1
351  -5   5   0   1   1   1
352  -5   5  -1   1   1   1
353  -5   6   1   1   1   1
354  -5   6   0   1   1   1
355  -5   6  -1   1   1   1
356  -6   5   1   1   1   1
357  -6   5   0   1   1   1
358  -6   5  -1   1   1   1
359  -0   3  -7   1   1   1
360  -5   3   1   1   1   1
361  -8   0  -3   1   1   1
362  -2  -1   1   1   1   1
363  -2   3  -2   1   1   1
364  -5   3  -1   1   1   1
365  -3   3  -4   1   1   1
366  -4  -2   4   1   1   1
367  -2   1   1   1   1   1
368  -2   1   2   1   1   1
369  -2   1   3   1   1   1
370  -2   0   1   1   1   1
371  -2   0   2   1   1   1
372  -2   0   3   1   1   1
373  -2  -1   2   1   1   1
374  -2  -1   3   1   1   1
375  -2  -2   3   1   1   1
376  -1   4  -1   1   1   1
377   4  -2  -2   1   1   1
378  -2  -5  -0   1   1   1
379  -2  -6  -0   1   1   1
380   0  -6   0   1   1   1
381   0  -7   1   1   1   1
382  -7  -4  -4   1   1   1
383   2  -4  -8   1   1   1
384  -1  -4  -8   1   1   1
385  -6   3  -1   1   1   1
386  -1  -5  -2   1   1   1
387  -1  -5  -3   1   1   1
388  -1  -4  -4   1   1   1
389  -5   6  -2   1   1   1
390  -4  -1  -5   1   1   1
391  -7  -4  -5   1   1   1
392   2   2   6   1   1   1
393   1   2   6   1   1   1
394   2   2   7   1   1   1
395   1   2   7   1   1   1
396   0   2   7   1   1   1
397   2   3   6   1   1   1
398   1   3   6   1   1   1
399   3   3   5   1   1   1
400   2   3   5   1   1   1
401   1   3   5   1   1   1
402   2   4   6   1   1   1
403   1   4   6   1   1   1
404   0   4   6   1   1   1
405  -2  -1   4   1   1   1
406  -7   4  -3   1   1   1
407  -3  -4  -2   1   1   1
408  -0   2  -4   1   1   1
409  -2   3  -4   1   1   1
410  -3   1   1   1   1   1
411   5   3  -2   1   1   1
412   4   5  -2   1   1   1
413   4   1   1   1   1   1
414  -2  -5  -4   1   1   1
415   7  -3  -2   1   1   1
416  -6  -0  -4   1   1   1
417  -1  -5  -8   1   1   1
418  -1  -6  -8   1   1   1
419  -6   6   1   1   1   1
420   1  -0  -3   1   1   1
421   2   0  -3   1   1   1
422   3   1  -4   1   1   1
423   4   5   0   1   1   1
424   5   5  -1   1   1   1
425  -2   4  -3   1   1   1
426   4  -3  -3   1   1   1
427   5  -3  -4   1   1   1
428   7  -1  -1   1   1   1
429   8  -1  -2   1   1   1
430   9  -1  -2   1   1   1
431   7  -2  -2   1   1   1
432   8  -2  -2   1   1   1
433   9  -2  -2   1   1   1
434   6  -2  -3   1   1   1
435   7  -3  -3   1   1   1
436   8  -3  -3   1   1   1
437  -5   7  -2   1   1   1
438  -5   5  -3   1   1   1
439  -6  -2  -2   1   1   1
440   2  -4  -3   1   1   1
441   1  -5  -0   1   1   1
442  -3   1  -7   1   1   1
443   2  -3  -1   1   1   1
444   6   4   1   1   1   1
445   7   4   2   1   1   1
446   7   3   1   1   1   1
447   7   3   2   1   1   1
448   7   2   1   1   1   1
449   7   2   2   1   1   1
450   2  -6  -0   1   1   1
451   4   4   2   1   1   1
452  -5  -5  -2   1   1   1
453  -6  -2   4   1   1   1
454  -6  -2   5   1   1   1
455  -5  -3   3   1   1   1
456  -6  -3   4   1   1   1
457  -6  -3   5   1   1   1
458  -5  -4   3   1   1   1
459  -5  -4   4   1   1   1
460  -6  -4   5   1   1   1
461   9   1  -1   1   1   1
462   9  -0  -1   1   1   1
463   1  -5  -3   1   1   1
464   5  -2  -5   1   1   1
465   5  -3  -5   1   1   1
466   5  -4  -5   1   1   1
467   5  -5  -5   1   1   1
468   5  -6  -5   1   1   1
469   3  -2  -4   1   1   1
470   4  -3  -4   1   1   1
471   4  -4  -4   1   1   1
472   4  -5  -4   1   1   1
473   4  -6  -4   1   1   1
474   4  -2  -5   1   1   1
475   4  -3  -5   1   1   1
476   4  -4  -5   1   1   1
477   4  -5  -5   1   1   1
478   4  -6  -5   1   1   1
479   4  -2  -6   1   1   1
480   4  -3  -6   1   1   1
481   4  -4  -6   1   1   1
482   4  -5  -6   1   1   1
483   4  -6  -6   1   1   1
484   3  -2  -5   1   1   1
485   3  -3  -5   1   1   1
486   3  -4  -5   1   1   1
487   3  -5  -5   1   1   1
488   3  -6  -5   1   1   1
489  -2  -5  -3   1   1   1
490  11   0  -0   1   1   1
491  12  -0  -1   1   1   1
492  13  -1  -2   1   1   1
493  11  -0  -1   1   1   1
494  11  -1  -1   1   1   1
495  12  -1  -2   1   1   1
496  10  -1  -1   1   1   1
497  11  -1  -2   1   1   1
498  11  -2  -2   1   1   1
499  -7  -3  -4   1   1   1
500   4   1  -3   1   1   1
501  -6   5  -3   1   1   1
502  -2  -2  -8   1   1   1
503   1  -2  -8   1   1   1
504   2  -2  -9   1   1   1
505  -6   3   0   1   1   1
506  -1   0  -6   1   1   1
507   0   3  -2   1   1   1
508  -2  -4  -8   1   1   1
509  -6   6  -2   1   1   1
510  -7   4  -1   1   1   1
511  -7   5  -1   1   1   1
512  -7   5  -2   1   1   1
513  -7   3  -1   1   1   1
514  -7   4  -2   1   1   1
515  -6   6   0   1   1   1
516  -4  -2  -8   1   1   1
517  -5  -1  -8   1   1   1
518  -6  -1   3   1   1   1
519   1  -4   2   1   1   1
520   3  -3   2   1   1   1
521   2  -4   2   1   1   1
522   2  -4   3   1   1   1
523   3  -3   3   1   1   1
524   2  -3   3   1   1   1
525   3  -2   4   1   1   1
526   2  -3   4   1   1   1
527  -8   0  -4   1   1   1
528  -3  -2  -8   1   1   1
529  -3  -0   3   1   1   1
530  -4  -1   2   1   1   1
531  -0  -5  -8   1   1   1
532  -6   7  -0   1   1   1
533  -3   4  -2   1   1   1
534   2  -2  -8   1   1   1
535  -0  -2   5   1   1   1
536   1  -3  -8   1   1   1
537   1  -3  -9   1   1   1
538   2  -3 -10   1   1   1
539   0  -2  -9   1   1   1
540   1  -2  -9   1   1   1
541   1  -3 -10   1   1   1
542  -0  -1  -9   1   1   1
543   0  -2 -10   1   1   1
544   1  -2 -11   1   1   1
545  13  -1  -1   1   1   1
546  14  -1  -1   1   1   1
547  15  -1  -1   1   1   1
548   6  -3  -5   1   1   1
549   6  -3  -4   1   1   1
550   6  -2  -4   1   1   1
551   5  -5  -1   1   1   1
552   3   0  -4   1   1   1
553   3  -0  -3   1   1   1
554   3  -1  -2   1   1   1
555  10   0   5   1   1   1
556  10   0   4   1   1   1
557  10   1   3   1   1   1
558  10   1   2   1   1   1
